time;I(VBT1);V(+3V0);V(/Green_Signal);V(/Red_Signal);
30.1223;-0.00115776;3;-0.0902597;-0.0981413;
30.1233;-0.000202075;3;-0.106175;-0.0981346;
30.1243;-0.00115761;3;-0.0902611;-0.0981276;
30.1253;-0.000201925;3;-0.106177;-0.0981204;
30.1263;-0.00115745;3;-0.0902626;-0.0981129;
30.1273;-0.000201763;3;-0.106178;-0.0981051;
30.1283;-0.00115728;3;-0.090264;-0.0980971;
30.1293;-0.000201589;3;-0.106179;-0.0980887;
30.1303;-0.0011571;3;-0.0902654;-0.0980801;
30.1313;-0.000201403;3;-0.10618;-0.0980712;
30.1323;-0.00115691;3;-0.0902667;-0.0980619;
30.1333;-0.000201204;3;-0.106182;-0.0980523;
30.1343;-0.0011567;3;-0.0902681;-0.0980424;
30.1353;-0.000200991;3;-0.106183;-0.0980322;
30.1363;-0.00115648;3;-0.0902695;-0.0980216;
30.1373;-0.000200764;3;-0.106184;-0.0980107;
30.1383;-0.00115624;3;-0.0902708;-0.0979994;
30.1393;-0.000200521;3;-0.106185;-0.0979877;
30.1403;-0.00115599;3;-0.0902721;-0.0979756;
30.1413;-0.000200262;3;-0.106187;-0.0979631;
30.1423;-0.00115572;3;-0.0902734;-0.0979502;
30.1433;-0.000199986;3;-0.106188;-0.0979369;
30.1443;-0.00115543;3;-0.0902748;-0.0979232;
30.1453;-0.000199692;3;-0.106189;-0.097909;
30.1463;-0.00115512;3;-0.090276;-0.0978944;
30.1473;-0.000199379;3;-0.10619;-0.0978793;
30.1483;-0.0011548;3;-0.0902773;-0.0978638;
30.1493;-0.000199046;3;-0.106191;-0.0978477;
30.1503;-0.00115445;3;-0.0902786;-0.0978312;
30.1513;-0.000198693;3;-0.106192;-0.0978141;
30.1523;-0.00115409;3;-0.0902799;-0.0977965;
30.1533;-0.000198317;3;-0.106193;-0.0977784;
30.1543;-0.0011537;3;-0.0902811;-0.0977598;
30.1553;-0.000197919;3;-0.106195;-0.0977405;
30.1563;-0.00115329;3;-0.0902824;-0.0977207;
30.1573;-0.000197498;3;-0.106196;-0.0977003;
30.1583;-0.00115285;3;-0.0902836;-0.0976794;
30.1593;-0.000197051;3;-0.106197;-0.0976578;
30.1603;-0.00115239;3;-0.0902848;-0.0976355;
30.1613;-0.000196579;3;-0.106198;-0.0976127;
30.1623;-0.0011519;3;-0.090286;-0.0975891;
30.1633;-0.00019608;3;-0.106199;-0.0975649;
30.1643;-0.00115139;3;-0.0902872;-0.09754;
30.1653;-0.000195553;3;-0.1062;-0.0975144;
30.1663;-0.00115084;3;-0.0902884;-0.0974881;
30.1673;-0.000194996;3;-0.106201;-0.0974611;
30.1683;-0.00115027;3;-0.0902896;-0.0974333;
30.1693;-0.00019441;3;-0.106202;-0.0974048;
30.1703;-0.00114967;3;-0.0902908;-0.0973755;
30.1713;-0.000193792;3;-0.106203;-0.0973454;
30.1723;-0.00114903;3;-0.0902919;-0.0973145;
30.1733;-0.000193142;3;-0.106204;-0.0972827;
30.1743;-0.00114836;3;-0.0902931;-0.0972502;
30.1753;-0.000192459;3;-0.106205;-0.0972167;
30.1763;-0.00114766;3;-0.0902942;-0.0971824;
30.1773;-0.000191741;3;-0.106206;-0.0971472;
30.1783;-0.00114692;3;-0.0902954;-0.0971111;
30.1793;-0.000190987;3;-0.106207;-0.0970741;
30.1803;-0.00114615;3;-0.0902965;-0.0970362;
